algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
2.66690000000003E-6,7.235999999999928E-7,7.937999999999975E-7,3.3110000000000296E-7,2437.0,584.0,34.0,125.0,
4.546100000000099E-6,7.549999999999913E-7,6.781999999999986E-7,1.4340000000000228E-7,6577.0,1249.0,59.0,185.0,
1.0811600000000046E-5,1.2663000000000121E-6,2.5870000000000313E-7,1.815000000000028E-7,13667.0,2164.0,87.0,245.0,
2.731500000000001E-6,2.0195999999999883E-6,2.9670000000000313E-7,8.350000000000119E-8,24457.0,3329.0,117.0,305.0,
4.990199999999968E-6,2.1641999999999695E-6,3.427000000000045E-7,8.600000000000125E-8,39697.0,4744.0,148.0,365.0,
7.1788000000000955E-6,6.133000000000056E-7,4.062000000000063E-7,9.380000000000142E-8,60137.0,6409.0,180.0,425.0,
1.1365100000000143E-5,7.771000000000072E-7,4.71400000000008E-7,1.0080000000000159E-7,86527.0,8324.0,213.0,485.0,
1.5725499999999906E-5,9.692000000000084E-7,5.386000000000046E-7,1.0580000000000162E-7,119617.0,10489.0,248.0,545.0,
2.2711599999999778E-5,1.183300000000008E-6,6.03200000000006E-7,1.1290000000000176E-7,160157.0,12904.0,283.0,605.0,
3.023479999999984E-5,1.4307999999999853E-6,6.703999999999983E-7,1.2110000000000185E-7,208897.0,15569.0,318.0,665.0,
4.7553700000000046E-5,1.713200000000033E-6,7.503999999999974E-7,1.2810000000000187E-7,266587.0,18484.0,355.0,725.0,
8.76989999999999E-5,2.0518000000000123E-6,7.973000000000111E-7,1.34700000000002E-7,333977.0,21649.0,392.0,785.0,
6.446750000000019E-5,2.3009999999999734E-6,8.534000000000015E-7,1.4160000000000206E-7,411817.0,25064.0,430.0,845.0,
7.387029999999934E-5,2.5870000000000017E-6,9.069999999999911E-7,1.4940000000000225E-7,500857.0,28729.0,468.0,905.0,
7.984259999999992E-5,2.925900000000005E-6,9.71500000000005E-7,1.5550000000000234E-7,601847.0,32644.0,506.0,965.0,
9.569000000000111E-5,3.3024999999999633E-6,1.01680000000001E-6,1.6220000000000245E-7,715537.0,36809.0,545.0,1025.0,
1.2927800000000095E-4,5.371799999999992E-6,1.1000999999999937E-6,1.6860000000000256E-7,842677.0,41224.0,585.0,1085.0,
1.7241940000000156E-4,4.582699999999964E-6,1.1348999999999978E-6,2.0180000000000304E-7,984017.0,45889.0,625.0,1145.0,
1.8662409999999766E-4,4.564100000000025E-6,1.2623000000000067E-6,1.8440000000000287E-7,1140307.0,50804.0,665.0,1205.0,
