Result Log
Problem File Path+Name: problems/a3.lup
Solution File Path+Name: solutions/solutionA3.lup
Random Number Seed: 2132327091
Algorithm parameters:
	Random Number Based Upon: time
	Number of Runs: 30
	Number of Fitness Evaluations: 10000
	Search Algorithm: Random Search
	Checking Solutions Against Black Cell Constraints: false

Run 1
1	0
5	8
29	23
136	35
269	43
402	46
778	48
961	50
1245	56
3801	57
6448	63

Run 2
1	0
20	13
29	37
201	41
327	42
903	61

Run 3
1	0
28	34
167	35
172	49
2860	55

Run 4
1	0
10	46
153	61

Run 5
1	0
37	6
49	20
52	24
62	42
118	48
311	52
430	54
3095	55
5383	59

Run 6
1	0
33	48
2728	61

Run 7
1	0
7	21
29	31
214	34
293	39
415	41
1763	45
1910	53
4845	60

Run 8
1	0
16	10
20	20
27	37
73	47
364	49
1096	53
5923	62

Run 9
1	0
19	15
46	20
99	55
2497	56
2976	58
4154	60

Run 10
1	0
19	39
45	41
898	54
6816	56

Run 11
1	0
6	26
45	28
428	35
808	42
965	45
1848	66

Run 12
1	0
34	13
72	26
123	39
170	44
793	56
3542	61

Run 13
1	0
17	11
29	13
38	15
45	40
161	46
287	50
734	56

Run 14
1	0
17	43
547	45
1505	57
1773	62

Run 15
1	0
19	15
26	25
81	40
247	41
254	48
935	49
979	55
8000	56

Run 16
1	0
6	42
22	60
3995	61

Run 17
1	0
14	8
25	37
305	38
314	54
1156	56

Run 18
1	0
10	22
24	41
31	42
503	57

Run 19
1	0
4	24
30	33
105	37
113	38
511	46
973	51
1196	53
4724	54

Run 20
1	0
7	38
912	50
1016	57

Run 21
1	0
18	5
52	12
55	25
56	38
297	46
324	48
2939	49
2945	51
9523	64

Run 22
1	0
73	13
137	52
3321	56

Run 23
1	0
18	8
33	28
225	44
320	54
1821	58

Run 24
1	0
45	43
958	45
1618	49
2515	51
2690	55

Run 25
1	0
22	6
24	17
40	48
284	52
3050	57
4945	59

Run 26
1	0
8	36
10	38
171	43
1142	47
2205	50
3550	58

Run 27
1	0
5	19
8	25
154	34
245	49
629	53
1496	55
2213	56
3735	59

Run 28
1	0
3	25
28	46
423	48
1483	51
1593	62

Run 29
1	0
24	9
63	35
79	37
158	44
315	45
360	46
497	58
2862	65

Run 30
1	0
2	15
15	17
54	21
135	47
2951	49
4563	57
