Result Log
Problem File Path+Name: problems/a3.lup
Solution File Path+Name: solutions/solutionA3.lup
Random Number Seed: 2122846680
Algorithm parameters:
	Random Number Based Upon: time
	Number of Runs: 30
	Mu: 100
	Lambda: 5
	Algorithm Used for Parent Selection: tournament
		Tournament Size for Parent Selection: 8
	Algorithm Used for Survival Selection: truncation
	Criterion Used for Termination: numberOfEvals
		Number of Evaluations Till Termination: 10000
	Search Algorithm: validityForcedUniformRandomSearch
	Checking Solutions Against Black Cell Constraints: false

Run 1
100	10.866666666666667	36
10	16.885714285714286	36
15	23.552380952380954	36
20	25.771428571428572	36
25	27.238095238095237	36
30	28.571428571428573	36
35	28.571428571428573	36
40	28.571428571428573	36
45	28.571428571428573	36
50	28.571428571428573	36
55	28.571428571428573	36
60	28.571428571428573	36
65	28.571428571428573	36
70	28.571428571428573	36
75	28.571428571428573	36
80	28.571428571428573	36
85	28.571428571428573	36
90	28.571428571428573	36
95	28.571428571428573	36
100	28.571428571428573	36
105	28.571428571428573	36
110	28.571428571428573	36
115	28.571428571428573	36
120	28.571428571428573	36
125	28.571428571428573	36
130	28.571428571428573	36
135	28.571428571428573	36
140	28.571428571428573	36
145	28.571428571428573	36
150	28.571428571428573	36
155	28.571428571428573	36
160	28.571428571428573	36
165	28.571428571428573	36
170	28.571428571428573	36
175	28.571428571428573	36
180	28.571428571428573	36
185	28.571428571428573	36
190	28.62857142857143	36
195	28.571428571428573	36
200	28.571428571428573	36
205	28.571428571428573	36
210	28.571428571428573	36
215	28.571428571428573	36
220	28.571428571428573	36
225	28.571428571428573	36
230	28.571428571428573	36
235	28.571428571428573	36
240	28.571428571428573	36
245	28.571428571428573	36
250	28.571428571428573	36
255	28.571428571428573	36
260	28.571428571428573	36
265	28.571428571428573	36
270	28.571428571428573	36
275	28.571428571428573	36
280	28.571428571428573	36
285	28.571428571428573	36
290	28.571428571428573	36
295	28.571428571428573	36
300	28.571428571428573	36
305	28.571428571428573	36
310	28.62857142857143	36
315	28.571428571428573	36
320	28.571428571428573	36
325	28.571428571428573	36
330	28.571428571428573	36
335	28.571428571428573	36
340	28.571428571428573	36
345	28.571428571428573	36
350	28.571428571428573	36
355	28.62857142857143	36
360	28.571428571428573	36
365	28.571428571428573	36
370	28.571428571428573	36
375	28.571428571428573	36
380	28.571428571428573	36
385	28.571428571428573	36
390	28.685714285714287	36
395	28.571428571428573	36
400	28.571428571428573	36
405	28.571428571428573	36
410	28.571428571428573	36
415	28.571428571428573	36
420	28.571428571428573	36
425	28.571428571428573	36
430	28.571428571428573	36
435	28.571428571428573	36
440	28.571428571428573	36
445	28.571428571428573	36
450	28.571428571428573	36
455	28.571428571428573	36
460	28.571428571428573	36
465	28.571428571428573	36
470	28.571428571428573	36
475	28.571428571428573	36
480	28.571428571428573	36
485	28.571428571428573	36
490	28.571428571428573	36
495	28.571428571428573	36
500	28.571428571428573	36
505	28.571428571428573	36
510	28.571428571428573	36
515	28.571428571428573	36
520	28.571428571428573	36
525	28.742857142857144	36
530	28.571428571428573	36
535	28.571428571428573	36
540	28.571428571428573	36
545	28.62857142857143	36
550	28.571428571428573	36
555	28.62857142857143	36
560	28.571428571428573	36
565	28.62857142857143	36
570	28.571428571428573	36
575	28.685714285714287	36
580	28.8	36
585	28.571428571428573	36
590	28.685714285714287	36
595	28.62857142857143	36
600	28.571428571428573	36
605	28.62857142857143	36
610	28.62857142857143	36
615	28.571428571428573	36
620	28.571428571428573	36
625	28.62857142857143	36
630	28.571428571428573	36
635	28.62857142857143	36
640	28.685714285714287	36
645	28.857142857142858	36
650	28.571428571428573	36
655	28.685714285714287	36
660	28.742857142857144	36
665	28.685714285714287	36
670	28.685714285714287	36
675	28.8	36
680	28.62857142857143	36
685	28.571428571428573	36
690	28.685714285714287	36
695	28.571428571428573	36
700	28.571428571428573	36
705	28.8	36
710	28.62857142857143	36
715	28.742857142857144	36
720	28.62857142857143	36
725	28.685714285714287	36
730	28.685714285714287	36
735	28.571428571428573	36
740	28.62857142857143	36
745	28.571428571428573	36
750	28.742857142857144	36
755	28.571428571428573	36
760	28.685714285714287	36
765	28.571428571428573	36
770	28.685714285714287	36
775	28.742857142857144	36
780	28.742857142857144	36
785	28.685714285714287	36
790	28.62857142857143	36
795	28.571428571428573	36
800	28.571428571428573	36
805	28.685714285714287	36
810	28.571428571428573	36
815	28.685714285714287	36
820	28.685714285714287	36
825	28.685714285714287	36
830	28.62857142857143	36
835	28.571428571428573	36
840	28.742857142857144	36
845	28.742857142857144	36
850	28.571428571428573	36
855	28.742857142857144	36
860	28.685714285714287	36
865	28.857142857142858	36
870	28.62857142857143	36
875	28.857142857142858	36
880	28.685714285714287	36
885	29.485714285714284	36
890	30.457142857142856	36
895	31.885714285714286	36
900	33.31428571428572	36
905	34.285714285714285	36
910	34.285714285714285	36
915	34.285714285714285	36
920	34.285714285714285	36
925	34.285714285714285	36
930	34.285714285714285	36
935	34.285714285714285	36
940	34.285714285714285	36
945	34.285714285714285	36
950	34.285714285714285	36
955	34.285714285714285	36
960	34.285714285714285	36
965	34.285714285714285	36
970	34.285714285714285	36
975	34.285714285714285	36
980	34.285714285714285	36
985	34.285714285714285	36
990	34.285714285714285	36
995	34.285714285714285	36
1000	34.285714285714285	36
1005	34.285714285714285	36
1010	34.285714285714285	36
1015	34.285714285714285	36
1020	34.285714285714285	36
1025	34.285714285714285	36
1030	34.285714285714285	36
1035	34.285714285714285	36
1040	34.285714285714285	36
1045	34.285714285714285	36
1050	34.285714285714285	36
1055	34.285714285714285	36
1060	34.285714285714285	36
1065	34.285714285714285	36
1070	34.285714285714285	36
1075	34.285714285714285	36
1080	34.285714285714285	36
1085	34.285714285714285	36
1090	34.285714285714285	36
1095	34.285714285714285	36
1100	34.285714285714285	36
1105	34.285714285714285	36
1110	34.285714285714285	36
1115	34.285714285714285	36
1120	34.285714285714285	36
1125	34.285714285714285	36
1130	34.285714285714285	36
1135	34.285714285714285	36
1140	34.285714285714285	36
1145	34.285714285714285	36
1150	34.285714285714285	36
1155	34.285714285714285	36
1160	34.285714285714285	36
1165	34.285714285714285	36
1170	34.285714285714285	36
1175	34.285714285714285	36
1180	34.285714285714285	36
1185	34.285714285714285	36
1190	34.285714285714285	36
1195	34.285714285714285	36
1200	34.285714285714285	36
1205	34.285714285714285	36
1210	34.285714285714285	36
1215	34.285714285714285	36
1220	34.285714285714285	36
1225	34.285714285714285	36
1230	34.285714285714285	36
1235	34.285714285714285	36
1240	34.285714285714285	36
1245	34.285714285714285	36
1250	34.285714285714285	36
1255	34.285714285714285	36
1260	34.285714285714285	36
1265	34.285714285714285	36
1270	34.285714285714285	36
1275	34.285714285714285	36
1280	34.285714285714285	36
1285	34.285714285714285	36
1290	34.285714285714285	36
1295	34.285714285714285	36
1300	34.285714285714285	36
1305	34.285714285714285	36
1310	34.285714285714285	36
1315	34.285714285714285	36
1320	34.285714285714285	36
1325	34.285714285714285	36
1330	34.285714285714285	36
1335	34.285714285714285	36
1340	34.285714285714285	36
1345	34.285714285714285	36
1350	34.285714285714285	36
1355	34.285714285714285	36
1360	34.285714285714285	36
1365	34.285714285714285	36
1370	34.285714285714285	36
1375	34.285714285714285	36
1380	34.285714285714285	36
1385	34.285714285714285	36
1390	34.285714285714285	36
1395	34.285714285714285	36
1400	34.285714285714285	36
1405	34.285714285714285	36
1410	34.285714285714285	36
1415	34.285714285714285	36
1420	34.285714285714285	36
1425	34.285714285714285	36
1430	34.285714285714285	36
1435	34.285714285714285	36
1440	34.285714285714285	36
1445	34.285714285714285	36
1450	34.285714285714285	36
1455	34.285714285714285	36
1460	34.285714285714285	36
1465	34.285714285714285	36
1470	34.285714285714285	36
1475	34.285714285714285	36
1480	34.285714285714285	36
1485	34.285714285714285	36
1490	34.285714285714285	36
1495	34.285714285714285	36
1500	34.285714285714285	36
1505	34.285714285714285	36
1510	34.285714285714285	36
1515	34.285714285714285	36
1520	34.285714285714285	36
1525	34.285714285714285	36
1530	34.285714285714285	36
1535	34.285714285714285	36
1540	34.285714285714285	36
1545	34.285714285714285	36
1550	34.285714285714285	36
1555	34.285714285714285	36
1560	34.285714285714285	36
1565	34.285714285714285	36
1570	34.285714285714285	36
1575	34.285714285714285	36
1580	34.285714285714285	36
1585	34.285714285714285	36
1590	34.285714285714285	36
1595	34.285714285714285	36
1600	34.285714285714285	36
1605	34.285714285714285	36
1610	34.285714285714285	36
1615	34.285714285714285	36
1620	34.285714285714285	36
1625	34.285714285714285	36
1630	34.285714285714285	36
1635	34.285714285714285	36
1640	34.285714285714285	36
1645	34.285714285714285	36
1650	34.285714285714285	36
1655	34.285714285714285	36
1660	34.285714285714285	36
1665	34.285714285714285	36
1670	34.285714285714285	36
1675	34.285714285714285	36
1680	34.285714285714285	36
1685	34.285714285714285	36
1690	34.285714285714285	36
1695	34.285714285714285	36
1700	34.285714285714285	36
1705	34.285714285714285	36
1710	34.285714285714285	36
1715	34.285714285714285	36
1720	34.285714285714285	36
1725	34.285714285714285	36
1730	34.285714285714285	36
1735	34.285714285714285	36
1740	34.285714285714285	36
1745	34.285714285714285	36
1750	34.285714285714285	36
1755	34.285714285714285	36
1760	34.285714285714285	36
1765	34.285714285714285	36
1770	34.285714285714285	36
1775	34.285714285714285	36
1780	34.285714285714285	36
1785	34.285714285714285	36
1790	34.285714285714285	36
1795	34.285714285714285	36
1800	34.285714285714285	36
1805	34.285714285714285	36
1810	34.285714285714285	36
1815	34.285714285714285	36
1820	34.285714285714285	36
1825	34.285714285714285	36
1830	34.285714285714285	36
1835	34.285714285714285	36
1840	34.285714285714285	36
1845	34.285714285714285	36
1850	34.285714285714285	36
1855	34.285714285714285	36
1860	34.285714285714285	36
1865	34.285714285714285	36
1870	34.285714285714285	36
1875	34.285714285714285	36
1880	34.285714285714285	36
1885	34.285714285714285	36
1890	34.285714285714285	36
1895	34.285714285714285	36
1900	34.285714285714285	36
1905	34.285714285714285	36
1910	34.285714285714285	36
1915	34.285714285714285	36
1920	34.285714285714285	36
1925	34.285714285714285	36
1930	34.285714285714285	36
1935	34.285714285714285	36
1940	34.285714285714285	36
1945	34.285714285714285	36
1950	34.285714285714285	36
1955	34.285714285714285	36
1960	34.285714285714285	36
1965	34.285714285714285	36
1970	34.285714285714285	36
1975	34.285714285714285	36
1980	34.285714285714285	36
1985	34.285714285714285	36
1990	34.285714285714285	36
1995	34.285714285714285	36
2000	34.285714285714285	36
2005	34.285714285714285	36
2010	34.285714285714285	36
2015	34.285714285714285	36
2020	34.285714285714285	36
2025	34.285714285714285	36
2030	34.285714285714285	36
2035	34.285714285714285	36
2040	34.285714285714285	36
2045	34.285714285714285	36
2050	34.285714285714285	36
2055	34.285714285714285	36
2060	34.285714285714285	36
2065	34.285714285714285	36
2070	34.285714285714285	36
2075	34.285714285714285	36
2080	34.285714285714285	36
2085	34.285714285714285	36
2090	34.285714285714285	36
2095	34.285714285714285	36
2100	34.285714285714285	36
2105	34.285714285714285	36
2110	34.285714285714285	36
2115	34.285714285714285	36
2120	34.285714285714285	36
2125	34.285714285714285	36
2130	34.285714285714285	36
2135	34.285714285714285	36
2140	34.285714285714285	36
2145	34.285714285714285	36
2150	34.285714285714285	36
2155	34.285714285714285	36
2160	34.285714285714285	36
2165	34.285714285714285	36
2170	34.285714285714285	36
2175	34.285714285714285	36
2180	34.285714285714285	36
2185	34.285714285714285	36
2190	34.285714285714285	36
2195	34.285714285714285	36
2200	34.285714285714285	36
2205	34.285714285714285	36
2210	34.285714285714285	36
2215	34.285714285714285	36
2220	34.285714285714285	36
2225	34.285714285714285	36
2230	34.285714285714285	36
2235	34.285714285714285	36
2240	34.285714285714285	36
2245	34.285714285714285	36
2250	34.285714285714285	36
2255	34.285714285714285	36
2260	34.285714285714285	36
2265	34.285714285714285	36
2270	34.285714285714285	36
2275	34.285714285714285	36
2280	34.285714285714285	36
2285	34.285714285714285	36
2290	34.285714285714285	36
2295	34.285714285714285	36
2300	34.285714285714285	36
2305	34.285714285714285	36
2310	34.285714285714285	36
2315	34.285714285714285	36
2320	34.285714285714285	36
2325	34.285714285714285	36
2330	34.285714285714285	36
2335	34.285714285714285	36
2340	34.285714285714285	36
2345	34.285714285714285	36
2350	34.285714285714285	36
2355	34.285714285714285	36
2360	34.285714285714285	36
2365	34.285714285714285	36
2370	34.285714285714285	36
2375	34.285714285714285	36
2380	34.285714285714285	36
2385	34.285714285714285	36
2390	34.285714285714285	36
2395	34.285714285714285	36
2400	34.285714285714285	36
2405	34.285714285714285	36
2410	34.285714285714285	36
2415	34.285714285714285	36
2420	34.285714285714285	36
2425	34.285714285714285	36
2430	34.285714285714285	36
2435	34.285714285714285	36
2440	34.285714285714285	36
2445	34.285714285714285	36
2450	34.285714285714285	36
2455	34.285714285714285	36
2460	34.285714285714285	36
2465	34.285714285714285	36
2470	34.285714285714285	36
2475	34.285714285714285	36
2480	34.285714285714285	36
2485	34.285714285714285	36
2490	34.285714285714285	36
2495	34.285714285714285	36
2500	34.285714285714285	36
2505	34.285714285714285	36
2510	34.285714285714285	36
2515	34.285714285714285	36
2520	34.285714285714285	36
2525	34.285714285714285	36
2530	34.285714285714285	36
2535	34.285714285714285	36
2540	34.285714285714285	36
2545	34.285714285714285	36
2550	34.285714285714285	36
2555	34.285714285714285	36
2560	34.285714285714285	36
2565	34.285714285714285	36
2570	34.285714285714285	36
2575	34.285714285714285	36
2580	34.285714285714285	36
2585	34.285714285714285	36
2590	34.285714285714285	36
2595	34.285714285714285	36
2600	34.285714285714285	36
2605	34.285714285714285	36
2610	34.285714285714285	36
2615	34.285714285714285	36
2620	34.285714285714285	36
2625	34.285714285714285	36
2630	34.285714285714285	36
2635	34.285714285714285	36
2640	34.285714285714285	36
2645	34.285714285714285	36
2650	34.285714285714285	36
2655	34.285714285714285	36
2660	34.285714285714285	36
2665	34.285714285714285	36
2670	34.285714285714285	36
2675	34.285714285714285	36
2680	34.285714285714285	36
2685	34.285714285714285	36
2690	34.285714285714285	36
2695	34.285714285714285	36
2700	34.285714285714285	36
2705	34.285714285714285	36
2710	34.285714285714285	36
2715	34.285714285714285	36
2720	34.285714285714285	36
2725	34.285714285714285	36
2730	34.285714285714285	36
2735	34.285714285714285	36
2740	34.285714285714285	36
2745	34.285714285714285	36
2750	34.285714285714285	36
2755	34.285714285714285	36
2760	34.285714285714285	36
2765	34.285714285714285	36
2770	34.285714285714285	36
2775	34.285714285714285	36
2780	34.285714285714285	36
2785	34.285714285714285	36
2790	34.285714285714285	36
2795	34.285714285714285	36
2800	34.285714285714285	36
2805	34.285714285714285	36
2810	34.285714285714285	36
2815	34.285714285714285	36
2820	34.285714285714285	36
2825	34.285714285714285	36
2830	34.285714285714285	36
2835	34.285714285714285	36
2840	34.285714285714285	36
2845	34.285714285714285	36
2850	34.285714285714285	36
2855	34.285714285714285	36
2860	34.285714285714285	36
2865	34.285714285714285	36
2870	34.285714285714285	36
2875	34.285714285714285	36
2880	34.285714285714285	36
2885	34.285714285714285	36
2890	34.285714285714285	36
2895	34.285714285714285	36
2900	34.285714285714285	36
2905	34.285714285714285	36
2910	34.285714285714285	36
2915	34.285714285714285	36
2920	34.285714285714285	36
2925	34.285714285714285	36
2930	34.285714285714285	36
2935	34.285714285714285	36
2940	34.285714285714285	36
2945	34.285714285714285	36
2950	34.285714285714285	36
2955	34.285714285714285	36
2960	34.285714285714285	36
2965	34.285714285714285	36
2970	34.285714285714285	36
2975	34.285714285714285	36
2980	34.285714285714285	36
2985	34.285714285714285	36
2990	34.285714285714285	36
2995	34.285714285714285	36
3000	34.285714285714285	36
3005	34.285714285714285	36
3010	34.285714285714285	36
3015	34.285714285714285	36
3020	34.285714285714285	36
3025	34.285714285714285	36
3030	34.285714285714285	36
3035	34.285714285714285	36
3040	34.285714285714285	36
3045	34.285714285714285	36
3050	34.285714285714285	36
3055	34.285714285714285	36
3060	34.285714285714285	36
3065	34.285714285714285	36
3070	34.285714285714285	36
3075	34.285714285714285	36
3080	34.285714285714285	36
3085	34.285714285714285	36
3090	34.285714285714285	36
3095	34.285714285714285	36
3100	34.285714285714285	36
3105	34.285714285714285	36
3110	34.285714285714285	36
3115	34.285714285714285	36
3120	34.285714285714285	36
3125	34.285714285714285	36
3130	34.285714285714285	36
3135	34.285714285714285	36
3140	34.285714285714285	36
3145	34.285714285714285	36
3150	34.285714285714285	36
3155	34.285714285714285	36
3160	34.285714285714285	36
3165	34.285714285714285	36
3170	34.285714285714285	36
3175	34.285714285714285	36
3180	34.285714285714285	36
3185	34.285714285714285	36
3190	34.285714285714285	36
3195	34.285714285714285	36
3200	34.285714285714285	36
3205	34.285714285714285	36
3210	34.285714285714285	36
3215	34.285714285714285	36
3220	34.285714285714285	36
3225	34.285714285714285	36
3230	34.285714285714285	36
3235	34.285714285714285	36
3240	34.285714285714285	36
3245	34.285714285714285	36
3250	34.285714285714285	36
3255	34.285714285714285	36
3260	34.285714285714285	36
3265	34.285714285714285	36
3270	34.285714285714285	36
3275	34.285714285714285	36
3280	34.285714285714285	36
3285	34.285714285714285	36
3290	34.285714285714285	36
3295	34.285714285714285	36
3300	34.285714285714285	36
3305	34.285714285714285	36
3310	34.285714285714285	36
3315	34.285714285714285	36
3320	34.285714285714285	36
3325	34.285714285714285	36
3330	34.285714285714285	36
3335	34.285714285714285	36
3340	34.285714285714285	36
3345	34.285714285714285	36
3350	34.285714285714285	36
3355	34.285714285714285	36
3360	34.285714285714285	36
3365	34.285714285714285	36
3370	34.285714285714285	36
3375	34.285714285714285	36
3380	34.285714285714285	36
3385	34.285714285714285	36
3390	34.285714285714285	36
3395	34.285714285714285	36
3400	34.285714285714285	36
3405	34.285714285714285	36
3410	34.285714285714285	36
3415	34.285714285714285	36
3420	34.285714285714285	36
3425	34.285714285714285	36
3430	34.285714285714285	36
3435	34.285714285714285	36
3440	34.285714285714285	36
3445	34.285714285714285	36
3450	34.285714285714285	36
3455	34.285714285714285	36
3460	34.285714285714285	36
3465	34.285714285714285	36
3470	34.285714285714285	36
3475	34.285714285714285	36
3480	34.285714285714285	36
3485	34.285714285714285	36
3490	34.285714285714285	36
3495	34.285714285714285	36
3500	34.285714285714285	36
3505	34.285714285714285	36
3510	34.285714285714285	36
3515	34.285714285714285	36
3520	34.285714285714285	36
3525	34.285714285714285	36
3530	34.285714285714285	36
3535	34.285714285714285	36
3540	34.285714285714285	36
3545	34.285714285714285	36
3550	34.285714285714285	36
3555	34.285714285714285	36
3560	34.285714285714285	36
3565	34.285714285714285	36
3570	34.285714285714285	36
3575	34.285714285714285	36
3580	34.285714285714285	36
3585	34.285714285714285	36
3590	34.285714285714285	36
3595	34.285714285714285	36
3600	34.285714285714285	36
3605	34.285714285714285	36
3610	34.285714285714285	36
3615	34.285714285714285	36
3620	34.285714285714285	36
3625	34.285714285714285	36
3630	34.285714285714285	36
3635	34.285714285714285	36
3640	34.285714285714285	36
3645	34.285714285714285	36
3650	34.285714285714285	36
3655	34.285714285714285	36
3660	34.285714285714285	36
3665	34.285714285714285	36
3670	34.285714285714285	36
3675	34.285714285714285	36
3680	34.285714285714285	36
3685	34.285714285714285	36
3690	34.285714285714285	36
3695	34.285714285714285	36
3700	34.285714285714285	36
3705	34.285714285714285	36
3710	34.285714285714285	36
3715	34.285714285714285	36
3720	34.285714285714285	36
3725	34.285714285714285	36
3730	34.285714285714285	36
3735	34.285714285714285	36
